1234    Sally   Stewart     385.22  77.28   50.00
2345    John    Johnson     27.95   25.00   0.00
3456    Manual  Martinez    0.00    0.00    28.00
4567    Anzio   Adams       300.56  200.00  25.49
5005    Han     Solo        2502.48 0.00    1199.99
5678    Betty   Boop        29.95   39.00   20.11
6789    Carmine Calendar    0.00    75.00   75.00
7025    Ed      Burkett     100.00  100.00  100.00
7890    Darlene Dawkins     33.65   100.00  78.90
8901    Lenny   Lefkowicz   893.35  500.00  0.00
9012    Walter  Wilson      12.95   10.00   150.00
