1113    Lori    Payne       1986    150 208 203 85  190 195
3057    Henry   Hudson      2001    98  200 211 155 185 195
7051    George  Jetson      1995    177 210 220 100 205 210
5018    Jack    Benson      2015    125 138 150 75  115 95
8156    George  Lucero      2013    203 200 205 100 108 104
6072    David   Tang        2011    165 168 169 130 155 159
2133    Ona     Bhutto      2000    83  105 120 135 140 148
3268    George  Williams    2016    79  120 90  111 133 125
8909    Jane    Hudson      1990    100 100 100 100 100 100
9375    Andrea  Young       2010    121 159 165 173 184 199
1999    Mandy   Proctor     2016    108 122 200 155 166 110
7272    Jack    White       2014    175 110 215 218 220 200
